date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;source_donnees
21/06/1978;49;11;32;44;20;10;ancien_format
28/06/1978;3;46;41;45;16;5;ancien_format
05/07/1978;46;47;39;29;17;9;ancien_format
12/07/1978;9;15;2;40;25;9;ancien_format
19/07/1978;28;11;16;8;24;2;ancien_format
26/07/1978;17;19;11;34;7;1;ancien_format
02/08/1978;5;3;1;27;17;3;ancien_format
09/08/1978;40;3;18;16;21;7;ancien_format
17/08/1978;45;31;18;27;30;2;ancien_format
23/08/1978;41;21;20;42;46;5;ancien_format
30/08/1978;28;38;21;12;48;7;ancien_format
06/09/1978;2;6;40;48;37;4;ancien_format
13/09/1978;20;48;35;34;8;10;ancien_format
20/09/1978;34;25;4;5;41;3;ancien_format
27/09/1978;48;45;27;47;23;5;ancien_format
04/10/1978;12;21;9;20;8;7;ancien_format
11/10/1978;4;48;14;33;29;10;ancien_format
18/10/1978;41;35;27;16;24;1;ancien_format
25/10/1978;28;34;8;42;20;9;ancien_format
02/11/1978;31;46;39;36;26;6;ancien_format
08/11/1978;6;16;21;3;49;7;ancien_format
15/11/1978;48;38;17;42;8;2;ancien_format
22/11/1978;32;20;47;14;19;2;ancien_format
29/11/1978;32;10;11;49;25;2;ancien_format
06/12/1978;42;30;35;31;44;10;ancien_format
13/12/1978;25;15;7;31;42;9;ancien_format
20/12/1978;48;31;41;49;35;9;ancien_format
28/12/1978;42;2;31;36;1;8;ancien_format
04/01/1979;20;21;47;13;49;8;ancien_format
10/01/1979;40;41;14;18;20;5;ancien_format
17/01/1979;12;37;30;16;19;9;ancien_format
24/01/1979;6;37;36;40;26;10;ancien_format
31/01/1979;4;22;30;26;49;4;ancien_format
07/02/1979;26;24;14;22;23;1;ancien_format
14/02/1979;27;30;18;49;47;2;ancien_format
21/02/1979;41;10;49;43;18;7;ancien_format
28/02/1979;2;20;5;31;11;1;ancien_format
07/03/1979;18;13;43;2;42;7;ancien_format
14/03/1979;25;36;32;20;45;10;ancien_format
21/03/1979;6;42;38;45;46;6;ancien_format
28/03/1979;23;42;14;27;3;7;ancien_format
04/04/1979;12;45;9;1;3;4;ancien_format
11/04/1979;34;2;28;12;7;9;ancien_format
19/04/1979;12;39;35;19;20;6;ancien_format
25/04/1979;13;21;39;37;41;4;ancien_format
03/05/1979;21;36;8;33;17;3;ancien_format
09/05/1979;40;41;49;24;9;8;ancien_format
16/05/1979;27;41;1;23;3;8;ancien_format
23/05/1979;36;42;48;11;5;5;ancien_format
30/05/1979;8;15;48;44;19;4;ancien_format
07/06/1979;3;49;9;48;10;8;ancien_format
13/06/1979;8;21;9;35;4;9;ancien_format
20/06/1979;10;12;3;25;8;5;ancien_format
27/06/1979;7;26;32;19;44;8;ancien_format
04/07/1979;25;1;15;39;4;4;ancien_format
11/07/1979;44;15;41;45;33;9;ancien_format
18/07/1979;13;8;49;36;19;10;ancien_format
25/07/1979;19;23;8;31;47;3;ancien_format
01/08/1979;17;2;29;23;14;4;ancien_format
08/08/1979;47;40;22;21;45;5;ancien_format
16/08/1979;36;42;20;15;47;6;ancien_format
22/08/1979;48;22;31;44;14;3;ancien_format
29/08/1979;8;25;15;16;4;1;ancien_format
05/09/1979;43;13;26;17;30;10;ancien_format
12/09/1979;31;45;17;13;5;9;ancien_format
19/09/1979;8;10;16;12;2;5;ancien_format
26/09/1979;44;6;37;12;3;3;ancien_format
03/10/1979;7;24;28;13;38;7;ancien_format
10/10/1979;4;36;29;28;42;5;ancien_format
17/10/1979;27;39;25;22;41;8;ancien_format
24/10/1979;7;46;33;45;34;1;ancien_format
31/10/1979;3;7;19;28;27;5;ancien_format
07/11/1979;28;45;46;12;40;5;ancien_format
14/11/1979;48;25;24;44;38;6;ancien_format
21/11/1979;28;12;24;4;30;8;ancien_format
28/11/1979;22;40;2;4;43;9;ancien_format
05/12/1979;12;7;27;35;15;1;ancien_format
12/12/1979;8;32;36;37;22;8;ancien_format
19/12/1979;10;26;12;22;4;9;ancien_format
28/12/1979;41;19;24;47;39;7;ancien_format
03/01/1980;26;32;48;39;9;1;ancien_format
09/01/1980;39;46;47;21;9;8;ancien_format
16/01/1980;42;26;43;9;32;4;ancien_format
23/01/1980;31;9;7;39;33;2;ancien_format
30/01/1980;29;28;42;46;19;9;ancien_format
06/02/1980;38;48;19;25;2;10;ancien_format
13/02/1980;43;20;25;39;26;5;ancien_format
20/02/1980;5;1;45;37;49;3;ancien_format
27/02/1980;3;30;19;18;13;7;ancien_format
05/03/1980;48;47;38;25;18;2;ancien_format
12/03/1980;48;38;17;46;9;4;ancien_format
19/03/1980;36;35;32;23;1;10;ancien_format
26/03/1980;18;10;46;35;4;2;ancien_format
02/04/1980;29;41;6;19;26;1;ancien_format
09/04/1980;47;41;12;31;5;6;ancien_format
16/04/1980;6;22;45;21;2;1;ancien_format
23/04/1980;10;14;12;3;42;2;ancien_format
30/04/1980;6;7;9;17;45;6;ancien_format
07/05/1980;22;1;25;14;10;9;ancien_format
14/05/1980;6;46;14;17;37;5;ancien_format
21/05/1980;45;5;44;15;48;10;ancien_format
29/05/1980;7;8;2;25;15;5;ancien_format
04/06/1980;14;18;6;48;27;6;ancien_format
11/06/1980;25;34;9;42;31;1;ancien_format
18/06/1980;7;40;36;11;22;6;ancien_format
25/06/1980;5;25;38;3;31;9;ancien_format
02/07/1980;34;47;36;5;40;3;ancien_format
09/07/1980;14;11;45;29;41;9;ancien_format
17/07/1980;42;17;2;28;4;8;ancien_format
23/07/1980;4;21;11;22;38;10;ancien_format
30/07/1980;3;13;5;11;19;2;ancien_format
06/08/1980;7;40;48;10;6;6;ancien_format
13/08/1980;28;5;32;12;15;6;ancien_format
20/08/1980;20;16;48;39;1;3;ancien_format
27/08/1980;48;24;18;45;36;2;ancien_format
03/09/1980;16;43;28;20;7;5;ancien_format
10/09/1980;31;19;3;20;39;7;ancien_format
17/09/1980;49;4;9;43;12;1;ancien_format
24/09/1980;12;28;31;4;45;3;ancien_format
01/10/1980;44;1;31;32;23;6;ancien_format
08/10/1980;47;3;22;13;5;6;ancien_format
15/10/1980;14;33;29;21;18;2;ancien_format
22/10/1980;46;6;48;36;41;10;ancien_format
29/10/1980;15;3;41;45;37;3;ancien_format
05/11/1980;42;49;21;10;39;4;ancien_format
13/11/1980;40;1;13;7;31;6;ancien_format
19/11/1980;6;13;21;39;37;8;ancien_format
26/11/1980;39;21;40;42;44;8;ancien_format
03/12/1980;22;35;47;40;24;7;ancien_format
10/12/1980;16;40;27;18;11;10;ancien_format
17/12/1980;5;12;44;24;11;1;ancien_format
24/12/1980;15;47;7;10;31;5;ancien_format
31/12/1980;7;16;34;8;39;8;ancien_format
07/01/1981;20;44;41;31;18;9;ancien_format
14/01/1981;34;31;26;38;48;10;ancien_format
21/01/1981;19;28;49;26;47;9;ancien_format
28/01/1981;4;28;29;19;18;9;ancien_format
04/02/1981;43;3;7;13;20;8;ancien_format
11/02/1981;46;24;11;14;28;2;ancien_format
18/02/1981;34;25;5;28;19;8;ancien_format
25/02/1981;29;12;48;13;15;5;ancien_format
04/03/1981;26;19;6;48;34;1;ancien_format
11/03/1981;28;40;3;36;41;10;ancien_format
18/03/1981;44;14;22;39;45;4;ancien_format
25/03/1981;2;18;49;28;47;4;ancien_format
01/04/1981;5;33;24;34;21;4;ancien_format
08/04/1981;45;18;43;24;13;6;ancien_format
15/04/1981;2;33;48;38;7;2;ancien_format
23/04/1981;9;34;17;1;24;6;ancien_format
29/04/1981;40;13;29;41;42;2;ancien_format
06/05/1981;41;17;38;43;47;10;ancien_format
13/05/1981;3;19;2;37;48;7;ancien_format
20/05/1981;6;29;18;4;47;10;ancien_format
27/05/1981;39;28;8;2;16;2;ancien_format
03/06/1981;26;25;5;40;12;8;ancien_format
11/06/1981;4;40;5;44;35;4;ancien_format
17/06/1981;42;13;38;18;1;7;ancien_format
24/06/1981;49;35;2;3;38;3;ancien_format
01/07/1981;12;4;34;27;25;6;ancien_format
08/07/1981;12;31;18;7;11;9;ancien_format
16/07/1981;40;2;49;20;15;7;ancien_format
22/07/1981;34;22;11;26;25;6;ancien_format
29/07/1981;13;19;9;27;49;3;ancien_format
05/08/1981;24;15;49;36;30;5;ancien_format
12/08/1981;2;49;6;37;13;2;ancien_format
19/08/1981;4;13;9;35;37;5;ancien_format
26/08/1981;12;9;36;45;48;2;ancien_format
02/09/1981;20;13;31;43;37;2;ancien_format
09/09/1981;29;33;25;32;5;3;ancien_format
16/09/1981;11;9;2;20;36;1;ancien_format
23/09/1981;34;9;14;24;19;7;ancien_format
30/09/1981;14;34;15;13;39;4;ancien_format
07/10/1981;4;12;47;11;28;1;ancien_format
14/10/1981;19;12;36;47;25;7;ancien_format
21/10/1981;2;26;24;1;43;5;ancien_format
28/10/1981;48;8;15;25;40;10;ancien_format
04/11/1981;24;46;7;23;2;1;ancien_format
12/11/1981;27;4;43;10;24;1;ancien_format
18/11/1981;43;2;27;46;40;2;ancien_format
25/11/1981;44;12;27;48;16;9;ancien_format
02/12/1981;22;39;36;32;5;6;ancien_format
09/12/1981;12;34;29;1;36;3;ancien_format
16/12/1981;18;38;13;22;34;4;ancien_format
23/12/1981;48;14;26;13;45;6;ancien_format
30/12/1981;28;45;34;48;37;7;ancien_format
06/01/1982;49;23;42;40;38;9;ancien_format
13/01/1982;9;29;25;8;14;5;ancien_format
20/01/1982;24;46;27;11;23;8;ancien_format
27/01/1982;26;34;23;24;47;9;ancien_format
03/02/1982;26;24;40;10;23;5;ancien_format
10/02/1982;17;38;23;6;27;2;ancien_format
17/02/1982;39;29;23;18;17;6;ancien_format
24/02/1982;34;30;10;18;4;7;ancien_format
03/03/1982;28;48;13;23;16;3;ancien_format
10/03/1982;3;13;24;19;36;7;ancien_format
17/03/1982;42;35;29;12;16;7;ancien_format
24/03/1982;9;35;48;11;49;3;ancien_format
31/03/1982;39;32;27;23;28;1;ancien_format
07/04/1982;40;36;29;19;31;9;ancien_format
15/04/1982;35;22;23;24;17;7;ancien_format
21/04/1982;10;17;24;11;2;4;ancien_format
28/04/1982;20;8;3;4;16;9;ancien_format
05/05/1982;24;22;20;3;28;1;ancien_format
12/05/1982;22;12;5;9;47;9;ancien_format
19/05/1982;24;14;2;9;12;10;ancien_format
26/05/1982;35;40;24;38;4;2;ancien_format
03/06/1982;45;32;44;35;24;1;ancien_format
09/06/1982;15;39;28;6;11;6;ancien_format
16/06/1982;35;48;46;20;17;8;ancien_format
23/06/1982;10;15;37;25;49;1;ancien_format
30/06/1982;35;14;34;31;39;9;ancien_format
07/07/1982;12;41;29;17;39;2;ancien_format
15/07/1982;19;6;24;45;23;8;ancien_format
21/07/1982;4;24;40;49;11;7;ancien_format
28/07/1982;28;1;32;7;24;8;ancien_format
04/08/1982;20;5;28;40;25;7;ancien_format
11/08/1982;32;44;35;47;16;2;ancien_format
18/08/1982;15;49;30;35;31;5;ancien_format
25/08/1982;18;40;29;44;15;8;ancien_format
01/09/1982;12;42;14;2;10;7;ancien_format
08/09/1982;30;9;48;37;35;3;ancien_format
15/09/1982;29;40;36;48;27;2;ancien_format
22/09/1982;21;37;40;34;45;7;ancien_format
29/09/1982;14;16;23;2;32;5;ancien_format
06/10/1982;17;28;13;6;45;2;ancien_format
13/10/1982;40;31;38;49;37;5;ancien_format
20/10/1982;27;49;44;11;14;2;ancien_format
27/10/1982;25;30;38;39;40;8;ancien_format
04/11/1982;15;10;21;22;42;9;ancien_format
10/11/1982;32;30;7;8;22;4;ancien_format
17/11/1982;22;16;45;49;48;10;ancien_format
24/11/1982;30;3;33;23;10;4;ancien_format
01/12/1982;31;32;36;9;26;3;ancien_format
08/12/1982;30;35;19;28;47;9;ancien_format
15/12/1982;49;26;4;6;40;2;ancien_format
22/12/1982;46;44;10;7;48;8;ancien_format
29/12/1982;49;25;8;32;31;1;ancien_format
05/01/1983;16;21;31;48;1;3;ancien_format
12/01/1983;42;29;18;45;15;2;ancien_format
19/01/1983;39;14;2;49;48;9;ancien_format
26/01/1983;34;20;5;8;2;5;ancien_format
02/02/1983;12;5;37;22;31;7;ancien_format
09/02/1983;23;29;6;34;12;8;ancien_format
16/02/1983;40;33;14;30;12;5;ancien_format
23/02/1983;4;8;32;30;42;5;ancien_format
02/03/1983;33;22;26;34;45;4;ancien_format
09/03/1983;28;22;12;24;38;4;ancien_format
16/03/1983;23;9;36;5;43;8;ancien_format
23/03/1983;26;11;32;34;22;4;ancien_format
30/03/1983;26;2;35;21;19;2;ancien_format
07/04/1983;33;44;6;29;24;1;ancien_format
13/04/1983;49;36;42;15;22;3;ancien_format
20/04/1983;26;31;40;33;10;7;ancien_format
27/04/1983;10;8;21;16;5;10;ancien_format
04/05/1983;24;21;40;43;5;7;ancien_format
11/05/1983;48;12;41;22;44;1;ancien_format
18/05/1983;1;30;49;9;32;8;ancien_format
26/05/1983;32;8;6;11;35;9;ancien_format
01/06/1983;18;40;9;14;21;1;ancien_format
08/06/1983;20;9;6;7;37;7;ancien_format
15/06/1983;10;20;30;17;34;2;ancien_format
22/06/1983;29;14;39;5;21;6;ancien_format
29/06/1983;21;48;37;10;43;5;ancien_format
06/07/1983;26;38;46;35;49;4;ancien_format
13/07/1983;15;14;28;30;48;9;ancien_format
20/07/1983;18;40;28;31;48;5;ancien_format
27/07/1983;37;9;17;18;14;1;ancien_format
03/08/1983;16;45;7;19;11;5;ancien_format
10/08/1983;44;29;3;24;13;7;ancien_format
18/08/1983;23;37;21;44;4;8;ancien_format
24/08/1983;43;46;4;18;49;6;ancien_format
31/08/1983;43;29;9;49;45;2;ancien_format
07/09/1983;5;42;38;31;11;9;ancien_format
14/09/1983;15;44;33;27;11;8;ancien_format
21/09/1983;27;12;8;39;25;4;ancien_format
28/09/1983;49;12;33;19;24;6;ancien_format
05/10/1983;6;47;1;23;2;6;ancien_format
12/10/1983;19;20;40;13;34;5;ancien_format
19/10/1983;5;11;47;44;8;6;ancien_format
26/10/1983;8;21;33;31;18;6;ancien_format
03/11/1983;20;33;49;5;24;9;ancien_format
09/11/1983;37;46;19;49;26;9;ancien_format
16/11/1983;41;37;42;27;17;10;ancien_format
23/11/1983;3;31;41;21;47;6;ancien_format
30/11/1983;7;22;13;21;44;10;ancien_format
07/12/1983;43;27;47;16;44;8;ancien_format
14/12/1983;43;34;23;10;48;7;ancien_format
21/12/1983;27;42;4;20;7;10;ancien_format
28/12/1983;33;35;40;20;5;6;ancien_format
04/01/1984;22;27;2;28;37;7;ancien_format
11/01/1984;20;45;5;29;31;5;ancien_format
18/01/1984;6;8;30;1;7;4;ancien_format
25/01/1984;7;42;47;22;12;7;ancien_format
01/02/1984;18;45;31;15;41;6;ancien_format
08/02/1984;19;34;24;29;38;6;ancien_format
15/02/1984;36;39;16;35;8;4;ancien_format
22/02/1984;9;3;42;39;38;4;ancien_format
29/02/1984;19;34;44;13;39;8;ancien_format
07/03/1984;38;29;32;10;1;3;ancien_format
10/03/1984;7;43;14;18;34;7;ancien_format
14/03/1984;47;18;24;6;10;1;ancien_format
17/03/1984;8;13;25;2;16;5;ancien_format
21/03/1984;49;6;38;29;23;8;ancien_format
24/03/1984;30;29;41;2;26;3;ancien_format
28/03/1984;46;36;22;23;38;3;ancien_format
31/03/1984;13;39;10;40;25;3;ancien_format
04/04/1984;42;20;34;29;46;9;ancien_format
07/04/1984;6;17;30;40;19;10;ancien_format
11/04/1984;10;12;16;27;18;6;ancien_format
14/04/1984;26;13;43;30;46;1;ancien_format
18/04/1984;31;9;14;39;42;9;ancien_format
21/04/1984;26;39;3;38;5;2;ancien_format
25/04/1984;30;49;45;41;16;9;ancien_format
28/04/1984;34;15;49;22;28;2;ancien_format
02/05/1984;25;15;22;31;16;6;ancien_format
05/05/1984;27;48;42;18;21;7;ancien_format
09/05/1984;23;7;12;47;22;8;ancien_format
12/05/1984;26;39;1;42;23;2;ancien_format
16/05/1984;17;16;49;18;23;3;ancien_format
19/05/1984;30;10;2;19;20;6;ancien_format
23/05/1984;13;18;43;36;28;5;ancien_format
26/05/1984;22;16;35;4;5;10;ancien_format
30/05/1984;45;49;41;40;21;7;ancien_format
02/06/1984;6;48;49;1;12;6;ancien_format
06/06/1984;39;21;13;30;38;10;ancien_format
09/06/1984;15;32;42;27;8;7;ancien_format
13/06/1984;23;30;49;25;21;10;ancien_format
16/06/1984;32;19;3;21;42;2;ancien_format
20/06/1984;12;18;47;40;21;8;ancien_format
23/06/1984;37;32;24;31;3;7;ancien_format
27/06/1984;25;5;34;33;46;10;ancien_format
30/06/1984;32;33;47;14;16;1;ancien_format
04/07/1984;15;29;46;37;33;2;ancien_format
07/07/1984;23;36;34;6;12;2;ancien_format
11/07/1984;29;25;46;4;34;7;ancien_format
14/07/1984;5;32;40;15;34;4;ancien_format
18/07/1984;17;46;1;24;40;7;ancien_format
21/07/1984;14;25;22;46;44;6;ancien_format
25/07/1984;15;7;28;25;35;2;ancien_format
28/07/1984;18;14;7;40;25;4;ancien_format
01/08/1984;3;39;28;14;5;10;ancien_format
04/08/1984;3;32;27;29;1;6;ancien_format
08/08/1984;33;48;20;42;40;1;ancien_format
11/08/1984;10;48;39;15;34;4;ancien_format
15/08/1984;15;38;41;35;20;3;ancien_format
18/08/1984;33;48;49;6;29;4;ancien_format
22/08/1984;47;36;41;24;14;6;ancien_format
25/08/1984;12;36;2;41;17;2;ancien_format
29/08/1984;47;38;21;15;49;4;ancien_format
01/09/1984;23;7;10;38;26;4;ancien_format
05/09/1984;11;21;28;35;1;4;ancien_format
08/09/1984;14;7;39;1;21;7;ancien_format
12/09/1984;3;32;8;27;29;7;ancien_format
15/09/1984;27;38;9;34;6;8;ancien_format
19/09/1984;37;36;26;35;27;9;ancien_format
22/09/1984;26;11;33;20;2;2;ancien_format
26/09/1984;30;9;40;17;45;6;ancien_format
29/09/1984;21;14;1;5;32;2;ancien_format
03/10/1984;29;1;40;42;36;6;ancien_format
06/10/1984;24;12;9;21;41;4;ancien_format
10/10/1984;17;14;36;6;30;9;ancien_format
13/10/1984;46;48;37;11;25;5;ancien_format
17/10/1984;45;38;20;8;19;10;ancien_format
20/10/1984;46;48;2;34;26;4;ancien_format
24/10/1984;27;3;44;8;48;10;ancien_format
27/10/1984;19;7;45;38;18;5;ancien_format
31/10/1984;18;30;44;19;46;5;ancien_format
03/11/1984;21;12;49;26;30;6;ancien_format
07/11/1984;42;39;38;30;34;1;ancien_format
10/11/1984;13;40;12;5;31;3;ancien_format
14/11/1984;39;16;43;5;40;4;ancien_format
17/11/1984;8;24;46;15;45;4;ancien_format
21/11/1984;23;25;46;12;49;2;ancien_format
24/11/1984;15;21;35;32;39;10;ancien_format
28/11/1984;6;8;27;11;22;4;ancien_format
01/12/1984;11;48;18;22;10;10;ancien_format
05/12/1984;35;23;47;17;36;5;ancien_format
08/12/1984;48;20;4;2;22;6;ancien_format
12/12/1984;2;22;5;15;16;9;ancien_format
15/12/1984;28;44;30;5;15;6;ancien_format
19/12/1984;13;24;7;29;5;6;ancien_format
22/12/1984;20;44;3;40;24;10;ancien_format
26/12/1984;45;31;33;38;3;9;ancien_format
29/12/1984;36;29;38;41;4;9;ancien_format
02/01/1985;6;40;22;15;34;7;ancien_format
05/01/1985;29;8;31;33;10;3;ancien_format
09/01/1985;21;2;1;33;46;10;ancien_format
12/01/1985;46;4;32;33;34;9;ancien_format
16/01/1985;1;44;38;39;2;7;ancien_format
19/01/1985;47;43;27;22;16;9;ancien_format
23/01/1985;39;31;13;37;6;8;ancien_format
26/01/1985;9;3;32;46;18;2;ancien_format
30/01/1985;4;45;30;26;16;9;ancien_format
02/02/1985;25;38;40;48;37;1;ancien_format
06/02/1985;36;37;26;25;48;3;ancien_format
09/02/1985;41;35;9;46;1;7;ancien_format
13/02/1985;20;22;17;1;15;8;ancien_format
16/02/1985;48;30;32;36;1;9;ancien_format
20/02/1985;24;30;39;1;8;9;ancien_format
23/02/1985;24;21;23;3;38;9;ancien_format
27/02/1985;29;8;28;37;49;3;ancien_format
02/03/1985;24;10;18;36;8;2;ancien_format
06/03/1985;26;30;39;27;12;9;ancien_format
09/03/1985;35;3;14;28;9;4;ancien_format
13/03/1985;4;14;41;40;18;7;ancien_format
16/03/1985;3;25;33;20;43;7;ancien_format
20/03/1985;41;37;33;14;9;10;ancien_format
23/03/1985;37;17;16;18;11;4;ancien_format
27/03/1985;30;10;47;29;1;8;ancien_format
30/03/1985;32;44;30;40;4;4;ancien_format
03/04/1985;8;19;27;42;29;3;ancien_format
06/04/1985;35;45;40;34;28;2;ancien_format
10/04/1985;47;4;3;14;42;10;ancien_format
13/04/1985;36;8;25;26;12;9;ancien_format
17/04/1985;45;39;25;21;6;6;ancien_format
20/04/1985;40;5;22;41;14;2;ancien_format
24/04/1985;45;37;9;20;48;2;ancien_format
27/04/1985;12;37;16;34;18;5;ancien_format
01/05/1985;7;36;6;24;16;10;ancien_format
04/05/1985;33;46;34;2;18;8;ancien_format
08/05/1985;19;18;30;24;37;3;ancien_format
11/05/1985;28;26;21;43;36;5;ancien_format
15/05/1985;23;45;33;1;37;9;ancien_format
18/05/1985;31;1;40;19;23;4;ancien_format
22/05/1985;25;26;13;37;24;9;ancien_format
25/05/1985;35;5;27;17;6;5;ancien_format
29/05/1985;28;1;20;17;34;3;ancien_format
01/06/1985;32;15;24;35;18;1;ancien_format
05/06/1985;25;42;45;19;12;9;ancien_format
08/06/1985;27;20;6;5;41;3;ancien_format
12/06/1985;9;19;29;30;14;7;ancien_format
15/06/1985;10;23;40;36;16;10;ancien_format
19/06/1985;11;45;7;22;34;10;ancien_format
22/06/1985;5;43;46;25;17;2;ancien_format
26/06/1985;11;36;6;31;23;3;ancien_format
29/06/1985;41;6;1;14;42;4;ancien_format
03/07/1985;23;10;6;36;45;3;ancien_format
06/07/1985;21;7;37;36;18;9;ancien_format
10/07/1985;42;49;36;23;18;8;ancien_format
13/07/1985;15;17;30;41;28;5;ancien_format
17/07/1985;2;37;43;7;5;10;ancien_format
20/07/1985;38;36;22;40;19;7;ancien_format
24/07/1985;49;14;37;7;17;9;ancien_format
27/07/1985;44;9;30;45;36;6;ancien_format
31/07/1985;42;26;11;1;48;6;ancien_format
03/08/1985;34;33;20;7;40;2;ancien_format
07/08/1985;16;21;12;20;40;4;ancien_format
10/08/1985;47;2;19;28;10;6;ancien_format
